epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,715.785,1.13977,3.53784,0.02325,0.65779,0.63378,0.70086,0.55156,0.88534,1.35639,0.02058,0.00999692,0.00333231,0.00999692,0.00333231,0.00999692,0.00333231,0.00999692,0.00333231
2,1363.96,1.18441,1.56893,0.02419,0.71258,0.65089,0.72514,0.56775,0.87819,1.2644,0.02057,0.019337,0.00644567,0.019337,0.00644567,0.019337,0.00644567,0.019337,0.00644567
3,1988.83,1.26288,1.48622,0.02598,0.60942,0.62188,0.68281,0.50001,1.0087,1.32035,0.024,0.0280171,0.00933904,0.0280171,0.00933904,0.0280171,0.00933904,0.0280171,0.00933904
4,2525.63,1.27661,1.46132,0.02611,0.77062,0.65272,0.75304,0.58702,0.91525,1.20358,0.02175,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
5,3063.09,1.23403,1.30283,0.02501,0.78781,0.70478,0.79623,0.62799,0.91555,1.00592,0.02247,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
6,3602.53,1.17732,1.20127,0.02365,0.83985,0.69106,0.80607,0.65043,0.84805,0.8802,0.02011,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
7,4140.92,1.14998,1.11191,0.02296,0.80809,0.73548,0.81833,0.65962,0.85995,0.87542,0.02025,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
8,4678.4,1.13147,1.06656,0.02253,0.84474,0.72059,0.82241,0.66895,0.8058,0.82404,0.01874,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
9,5216.16,1.10801,1.01974,0.02196,0.7741,0.77665,0.82877,0.68993,0.77373,0.83966,0.01825,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
10,5752.47,1.08082,0.97284,0.02133,0.83913,0.76018,0.85186,0.69734,0.77357,0.74957,0.01765,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
11,6290.48,1.06529,0.92863,0.02106,0.79243,0.77703,0.85415,0.70387,0.77825,0.74611,0.01778,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
12,6828.96,1.04486,0.90781,0.02052,0.81336,0.77268,0.8374,0.69661,0.76516,0.79428,0.01738,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
13,7366.47,1.03166,0.87901,0.02024,0.88037,0.74913,0.86304,0.71332,0.75566,0.71688,0.0171,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
14,7904.1,1.01043,0.86192,0.01984,0.78913,0.7329,0.84611,0.68702,0.78432,0.80958,0.01781,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
15,8442.82,1.00555,0.81638,0.01965,0.86627,0.71493,0.85464,0.70038,0.76248,0.75378,0.01765,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
16,8980.78,0.98832,0.79967,0.01918,0.8827,0.74207,0.85345,0.70539,0.75723,0.7537,0.0172,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
17,9519.15,0.97464,0.78878,0.01888,0.8115,0.81834,0.87357,0.72153,0.74806,0.69347,0.01679,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
18,10057.6,0.9491,0.77243,0.01841,0.84619,0.76313,0.84382,0.69564,0.74924,0.80853,0.01707,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
19,10594.6,0.94162,0.73755,0.01823,0.84511,0.74668,0.8391,0.69738,0.75165,0.79903,0.01714,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
20,11132.4,0.93018,0.72227,0.01798,0.77654,0.79838,0.83809,0.6927,0.74717,0.83181,0.01703,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
21,11648.5,0.78365,0.37111,0.01895,0.8683,0.76167,0.83403,0.69395,0.74096,0.84407,0.01677,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
22,12166.9,0.76477,0.35676,0.01833,0.83279,0.76317,0.84135,0.70623,0.72801,0.84842,0.01651,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
23,12683.2,0.75029,0.35825,0.01801,0.88607,0.71867,0.83905,0.7015,0.73018,0.83662,0.01663,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
24,13201,0.73678,0.32761,0.01762,0.8236,0.76901,0.84941,0.70442,0.75135,0.81958,0.01719,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241
25,13719.2,0.71684,0.32362,0.01713,0.83704,0.77031,0.85928,0.70944,0.75368,0.7968,0.01724,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
26,14237.8,0.70264,0.31193,0.01676,0.80959,0.78598,0.85197,0.70501,0.75344,0.84577,0.01734,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175
27,14753.7,0.68283,0.30444,0.01628,0.81666,0.78199,0.8297,0.69018,0.74522,0.89708,0.01717,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142
