epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,927.892,1.14444,3.71252,0.02026,0.5475,0.59683,0.64453,0.51442,0.8472,1.45168,0.01989,0.00999385,0.00333128,0.00999385,0.00333128,0.00999385,0.00333128,0.00999385,0.00333128
2,1694.5,1.1661,1.65132,0.02057,0.61874,0.63486,0.68785,0.52936,0.93368,1.35933,0.02282,0.019334,0.00644468,0.019334,0.00644468,0.019334,0.00644468,0.019334,0.00644468
3,2258.21,1.24542,1.61493,0.02217,0.64327,0.67033,0.73422,0.54024,1.08912,1.19499,0.02605,0.0280143,0.00933808,0.0280143,0.00933808,0.0280143,0.00933808,0.0280143,0.00933808
4,2898.29,1.25884,1.56347,0.02238,0.66226,0.70463,0.76664,0.59008,0.96064,1.06555,0.02199,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
5,3315.33,1.22222,1.41723,0.02145,0.686,0.76527,0.80768,0.65345,0.80392,0.94563,0.0183,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
6,3714.91,1.17282,1.30601,0.02056,0.77109,0.69981,0.79928,0.64387,0.8568,0.92063,0.01941,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
7,4111.67,1.15042,1.22833,0.02006,0.75303,0.69192,0.80043,0.64526,0.83479,0.92676,0.01952,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
8,4523.05,1.12125,1.15626,0.0194,0.78193,0.75289,0.82112,0.68136,0.76251,0.85053,0.01725,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
9,4933.8,1.10894,1.10962,0.01925,0.8087,0.74355,0.83819,0.68618,0.7897,0.82771,0.01802,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
10,5339.99,1.09173,1.05903,0.01873,0.78485,0.77484,0.84121,0.695,0.76915,0.82337,0.01734,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
11,5765.22,1.07248,1.01612,0.01839,0.83162,0.74374,0.83701,0.69106,0.7693,0.78335,0.01739,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
12,7130.35,1.05708,0.98537,0.01809,0.80938,0.78399,0.85408,0.70795,0.76435,0.74116,0.01739,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
13,7521.07,1.03905,0.96313,0.01784,0.76858,0.79973,0.84756,0.7011,0.78788,0.79858,0.01804,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
14,7916.67,1.02523,0.91915,0.01756,0.84587,0.79751,0.84882,0.71029,0.75432,0.73635,0.01693,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
15,8478.08,1.00725,0.9183,0.01715,0.86213,0.75838,0.84,0.69794,0.73873,0.82133,0.01643,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
16,9167.12,0.99774,0.89108,0.01699,0.78391,0.76847,0.83779,0.69474,0.77012,0.84303,0.01742,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
17,9856.64,0.9813,0.86248,0.01661,0.85162,0.78227,0.87612,0.73172,0.73415,0.69336,0.01647,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
18,10546,0.96683,0.83722,0.01639,0.84172,0.77337,0.84524,0.7007,0.76557,0.8426,0.01729,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
19,11234.5,0.95843,0.8087,0.01625,0.81803,0.79969,0.84382,0.70105,0.74877,0.80324,0.01675,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
20,11924.5,0.94303,0.7978,0.01596,0.77668,0.80496,0.84128,0.7043,0.74673,0.82178,0.01677,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
21,12564.7,0.78214,0.37001,0.01906,0.77224,0.81361,0.84504,0.69969,0.7686,0.84718,0.01743,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
22,13206.4,0.76096,0.36678,0.01848,0.76802,0.79666,0.84867,0.70445,0.75278,0.82482,0.01683,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
23,13692.5,0.74416,0.33484,0.01799,0.85483,0.73507,0.8453,0.70628,0.76049,0.84159,0.01696,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
24,14334,0.724,0.32061,0.01742,0.86056,0.76317,0.85369,0.71069,0.74464,0.78961,0.01646,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241
25,14904.5,0.70972,0.31058,0.01705,0.83464,0.75919,0.84528,0.71204,0.72974,0.85081,0.01626,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
26,15545.1,0.68776,0.3111,0.01649,0.88162,0.75113,0.84664,0.70947,0.72623,0.8432,0.01612,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175
27,16184.8,0.67677,0.31038,0.01625,0.87576,0.74855,0.85923,0.71969,0.73254,0.82466,0.01629,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142
