run_index,run_name,changed_parameter,changed_value,mosaic,epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
7,run_07_mosaic_0.0,mosaic,0.0,0.0,21,11211.5,0.77572,0.36226,0.01857,0.86281,0.76174,0.8414,0.70056,0.73016,0.94178,0.01647,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
7,run_07_mosaic_0.0,mosaic,0.0,0.0,22,11727.8,0.75776,0.35048,0.01816,0.86881,0.76907,0.84424,0.70178,0.73339,0.96071,0.01653,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
7,run_07_mosaic_0.0,mosaic,0.0,0.0,23,12243.2,0.73927,0.3469,0.01761,0.84359,0.79647,0.86268,0.71743,0.72339,0.81553,0.01624,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
7,run_07_mosaic_0.0,mosaic,0.0,0.0,24,12759.6,0.72797,0.32904,0.0174,0.82425,0.80029,0.85811,0.71455,0.731,0.83016,0.01653,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241
7,run_07_mosaic_0.0,mosaic,0.0,0.0,25,13274.5,0.70928,0.32085,0.01688,0.90311,0.71453,0.84345,0.69771,0.73739,0.91828,0.01677,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
7,run_07_mosaic_0.0,mosaic,0.0,0.0,26,13791.8,0.69858,0.30989,0.01666,0.88033,0.74299,0.83975,0.70056,0.74279,0.96981,0.01697,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175
7,run_07_mosaic_0.0,mosaic,0.0,0.0,27,14307.9,0.68347,0.30463,0.01628,0.8933,0.73462,0.83156,0.69151,0.74444,1.07691,0.01683,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142
7,run_07_mosaic_0.0,mosaic,0.0,0.0,28,14822.8,0.6715,0.29954,0.01594,0.8872,0.73322,0.83463,0.69024,0.75434,0.98095,0.01711,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
7,run_07_mosaic_0.0,mosaic,0.0,0.0,29,15339.3,0.66,0.28805,0.01571,0.86921,0.75779,0.84051,0.69509,0.76004,1.03906,0.01722,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076
7,run_07_mosaic_0.0,mosaic,0.0,0.0,30,15860.7,0.64283,0.2902,0.01533,0.88988,0.73831,0.84241,0.6977,0.76007,1.06803,0.01732,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043
8,run_08_mosaic_0.5,mosaic,0.5,0.5,1,715.785,1.13977,3.53784,0.02325,0.65779,0.63378,0.70086,0.55156,0.88534,1.35639,0.02058,0.00999692,0.00333231,0.00999692,0.00333231,0.00999692,0.00333231,0.00999692,0.00333231
8,run_08_mosaic_0.5,mosaic,0.5,0.5,2,1363.96,1.18441,1.56893,0.02419,0.71258,0.65089,0.72514,0.56775,0.87819,1.2644,0.02057,0.019337,0.00644567,0.019337,0.00644567,0.019337,0.00644567,0.019337,0.00644567
8,run_08_mosaic_0.5,mosaic,0.5,0.5,3,1988.83,1.26288,1.48622,0.02598,0.60942,0.62188,0.68281,0.50001,1.0087,1.32035,0.024,0.0280171,0.00933904,0.0280171,0.00933904,0.0280171,0.00933904,0.0280171,0.00933904
8,run_08_mosaic_0.5,mosaic,0.5,0.5,4,2525.63,1.27661,1.46132,0.02611,0.77062,0.65272,0.75304,0.58702,0.91525,1.20358,0.02175,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
8,run_08_mosaic_0.5,mosaic,0.5,0.5,5,3063.09,1.23403,1.30283,0.02501,0.78781,0.70478,0.79623,0.62799,0.91555,1.00592,0.02247,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
8,run_08_mosaic_0.5,mosaic,0.5,0.5,6,3602.53,1.17732,1.20127,0.02365,0.83985,0.69106,0.80607,0.65043,0.84805,0.8802,0.02011,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
8,run_08_mosaic_0.5,mosaic,0.5,0.5,7,4140.92,1.14998,1.11191,0.02296,0.80809,0.73548,0.81833,0.65962,0.85995,0.87542,0.02025,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
8,run_08_mosaic_0.5,mosaic,0.5,0.5,8,4678.4,1.13147,1.06656,0.02253,0.84474,0.72059,0.82241,0.66895,0.8058,0.82404,0.01874,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
