run_name,changed_parameter,changed_value,epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
run_02_imgsz_512,imgsz,512,6,3063.6,1.20406,1.33712,0.02109,0.7391,0.74389,0.79778,0.64256,0.82263,0.90538,0.01877,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
run_02_imgsz_512,imgsz,512,7,3534.25,1.18638,1.26484,0.02074,0.75467,0.76906,0.82945,0.67107,0.80415,0.8501,0.01856,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
run_02_imgsz_512,imgsz,512,8,4003.89,1.16203,1.17881,0.02006,0.76038,0.75684,0.83267,0.67728,0.79511,0.87652,0.01819,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
run_02_imgsz_512,imgsz,512,9,4477.25,1.13861,1.15042,0.01968,0.81646,0.77808,0.84269,0.69671,0.7571,0.80395,0.01698,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
run_02_imgsz_512,imgsz,512,10,4950.62,1.12385,1.10667,0.01941,0.78272,0.77489,0.84376,0.68501,0.79512,0.77812,0.01816,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
run_02_imgsz_512,imgsz,512,11,5421.5,1.10391,1.05608,0.01907,0.85314,0.73099,0.84487,0.6973,0.73994,0.79526,0.01694,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
run_02_imgsz_512,imgsz,512,12,5892.1,1.08109,1.03799,0.01865,0.84687,0.70479,0.83858,0.69002,0.75519,0.81653,0.01739,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
run_02_imgsz_512,imgsz,512,13,6361.76,1.06779,0.99722,0.01832,0.84775,0.75663,0.8423,0.69354,0.7664,0.81936,0.01734,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
run_02_imgsz_512,imgsz,512,14,6833.69,1.04859,0.97488,0.01802,0.86787,0.78664,0.8856,0.75316,0.71431,0.66619,0.016,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
run_02_imgsz_512,imgsz,512,15,7305.77,1.03794,0.94567,0.01789,0.84213,0.76645,0.8718,0.73625,0.72591,0.67103,0.01623,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
run_02_imgsz_512,imgsz,512,16,7775.1,1.02837,0.93211,0.01755,0.80993,0.82363,0.88058,0.74398,0.71342,0.67585,0.01608,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
run_02_imgsz_512,imgsz,512,17,8246.02,1.00852,0.88643,0.01711,0.81017,0.82423,0.87978,0.73797,0.72045,0.6854,0.01608,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
run_02_imgsz_512,imgsz,512,18,8715.04,0.99705,0.86527,0.01696,0.8072,0.8156,0.87129,0.73492,0.71897,0.72825,0.01602,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
run_02_imgsz_512,imgsz,512,19,9185.46,0.97946,0.8398,0.01666,0.85136,0.76124,0.86725,0.73173,0.70921,0.75417,0.01577,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
run_02_imgsz_512,imgsz,512,20,9655.28,0.9658,0.83118,0.01641,0.8237,0.767,0.87402,0.73173,0.71722,0.72403,0.01594,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
run_02_imgsz_512,imgsz,512,21,10097.3,0.80197,0.38763,0.01933,0.86839,0.77223,0.86241,0.72201,0.71785,0.73424,0.01606,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
run_02_imgsz_512,imgsz,512,22,10539.1,0.78198,0.36748,0.01883,0.8306,0.78874,0.86809,0.73199,0.70103,0.77985,0.01553,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
run_02_imgsz_512,imgsz,512,23,10979.4,0.76233,0.35899,0.01824,0.83659,0.79364,0.85658,0.71433,0.71949,0.78934,0.01589,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
run_02_imgsz_512,imgsz,512,24,11422.8,0.74764,0.34691,0.01785,0.84972,0.77897,0.84008,0.70397,0.72849,0.80395,0.01621,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241
run_03_imgsz_768,imgsz,768,1,855.727,1.17898,3.7999,0.02124,0.69153,0.51647,0.65402,0.50757,0.91525,1.45911,0.02173,0.00999692,0.00333231,0.00999692,0.00333231,0.00999692,0.00333231,0.00999692,0.00333231
run_03_imgsz_768,imgsz,768,2,1574.6,1.20484,1.78369,0.02186,0.59965,0.59052,0.65032,0.4781,0.9918,1.445,0.02486,0.019337,0.00644567,0.019337,0.00644567,0.019337,0.00644567,0.019337,0.00644567
run_03_imgsz_768,imgsz,768,3,2258.09,1.26408,1.69108,0.02296,0.6067,0.64122,0.6718,0.46224,1.18971,1.50091,0.03121,0.0280171,0.00933904,0.0280171,0.00933904,0.0280171,0.00933904,0.0280171,0.00933904
run_03_imgsz_768,imgsz,768,4,2934.57,1.29923,1.62726,0.02349,0.73575,0.64311,0.72873,0.5342,1.04878,1.23742,0.02641,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
run_03_imgsz_768,imgsz,768,5,3610.49,1.25131,1.44887,0.02236,0.71249,0.69758,0.76137,0.59931,0.89789,1.03601,0.02112,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
run_03_imgsz_768,imgsz,768,6,4284.77,1.20201,1.34388,0.02139,0.71912,0.77269,0.8115,0.6489,0.86498,0.89659,0.02065,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
run_03_imgsz_768,imgsz,768,7,4959.86,1.17357,1.25801,0.02086,0.81106,0.68567,0.79571,0.62738,0.91571,0.95819,0.02252,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
run_03_imgsz_768,imgsz,768,8,5634.21,1.14264,1.18787,0.02007,0.75251,0.77521,0.81947,0.65859,0.84989,0.91502,0.0202,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
run_03_imgsz_768,imgsz,768,9,6307.31,1.12049,1.15228,0.01968,0.77782,0.73246,0.81831,0.66823,0.79501,0.90616,0.01839,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
run_03_imgsz_768,imgsz,768,10,6983.16,1.10287,1.11116,0.01936,0.7736,0.7837,0.8546,0.69854,0.80929,0.79056,0.01916,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
run_03_imgsz_768,imgsz,768,11,7646.77,1.08885,1.05281,0.01909,0.8161,0.76068,0.83563,0.68439,0.80517,0.81182,0.0191,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
run_03_imgsz_768,imgsz,768,12,8288.25,1.0703,1.03337,0.01877,0.81972,0.77389,0.83302,0.69352,0.77944,0.80744,0.01804,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
run_03_imgsz_768,imgsz,768,13,8918.4,1.05043,0.9922,0.01831,0.82748,0.80197,0.85086,0.69795,0.78309,0.78619,0.01853,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
run_03_imgsz_768,imgsz,768,14,9565.54,1.03737,0.96101,0.01809,0.84361,0.80231,0.86299,0.7158,0.75578,0.70667,0.01751,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
run_03_imgsz_768,imgsz,768,15,10207.1,1.02314,0.93142,0.01786,0.81008,0.77335,0.86266,0.71583,0.73641,0.74278,0.01689,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
run_03_imgsz_768,imgsz,768,16,10851.5,1.01296,0.92824,0.01756,0.84406,0.79766,0.86638,0.71916,0.7296,0.71532,0.01666,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
run_03_imgsz_768,imgsz,768,17,11482.9,0.99338,0.88367,0.01709,0.83336,0.79632,0.87276,0.72989,0.72847,0.78772,0.01638,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
run_03_imgsz_768,imgsz,768,18,12125.7,0.98153,0.87113,0.0169,0.81674,0.80763,0.85929,0.72312,0.73112,0.74226,0.0167,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
run_03_imgsz_768,imgsz,768,19,12758.4,0.96354,0.84096,0.01659,0.83602,0.79609,0.85825,0.71918,0.7389,0.72678,0.017,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
run_03_imgsz_768,imgsz,768,20,13406.0,0.9524,0.8256,0.01636,0.82532,0.78743,0.85249,0.70944,0.7632,0.78106,0.01752,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
run_03_imgsz_768,imgsz,768,21,13988.9,0.80703,0.39489,0.01972,0.88521,0.78015,0.85688,0.71068,0.75987,0.71405,0.01737,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
run_03_imgsz_768,imgsz,768,22,14573.4,0.7856,0.38738,0.01913,0.86428,0.77661,0.87001,0.71584,0.75805,0.734,0.01729,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
run_03_imgsz_768,imgsz,768,23,15171.7,0.7673,0.36647,0.01863,0.84602,0.79184,0.84864,0.6961,0.77027,0.79286,0.01758,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
run_03_imgsz_768,imgsz,768,24,15757.1,0.74763,0.35412,0.01805,0.88058,0.77943,0.86965,0.72073,0.76283,0.71792,0.01745,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241
run_03_imgsz_768,imgsz,768,25,16351.7,0.73455,0.35139,0.01775,0.84701,0.80068,0.86609,0.71451,0.76962,0.73849,0.01758,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
run_03_imgsz_768,imgsz,768,26,16946.3,0.71241,0.33972,0.01716,0.82482,0.82659,0.86629,0.71885,0.76092,0.75513,0.01728,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175
run_03_imgsz_768,imgsz,768,27,17565.1,0.69702,0.32177,0.01675,0.84595,0.77266,0.85288,0.70436,0.76337,0.77747,0.01729,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142
run_04_batch_4,batch,4,1,1091.47,1.1986,3.40977,0.02183,0.63239,0.61088,0.69088,0.55314,0.81765,1.25161,0.01917,0.00999846,0.00333282,0.00999846,0.00333282,0.00999846,0.00333282,0.00999846,0.00333282
run_04_batch_4,batch,4,2,1949.19,1.23552,1.81374,0.02275,0.72012,0.68987,0.76245,0.60778,0.82938,1.12882,0.01946,0.0193385,0.00644617,0.0193385,0.00644617,0.0193385,0.00644617,0.0193385,0.00644617
run_04_batch_4,batch,4,3,2767.13,1.29444,1.78472,0.02382,0.67717,0.66819,0.71681,0.53404,0.99556,1.24669,0.02385,0.0280186,0.00933952,0.0280186,0.00933952,0.0280186,0.00933952,0.0280186,0.00933952
run_04_batch_4,batch,4,4,3531.54,1.31869,1.70133,0.02422,0.72266,0.65018,0.75666,0.5638,0.99581,1.19246,0.02443,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
run_04_batch_4,batch,4,5,4309.4,1.28248,1.5304,0.02337,0.82218,0.70145,0.815,0.64348,0.85084,0.99101,0.01972,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
run_04_batch_4,batch,4,6,5066.92,1.21891,1.41385,0.02202,0.83616,0.73944,0.81494,0.656,0.79081,0.9816,0.01838,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
run_04_batch_4,batch,4,7,5841.15,1.19923,1.33384,0.02165,0.76536,0.69255,0.77295,0.62609,0.86293,1.11165,0.02082,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
run_04_batch_4,batch,4,8,6612.06,1.17246,1.27308,0.02088,0.7832,0.74542,0.82972,0.67128,0.83856,0.90053,0.0197,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
run_04_batch_4,batch,4,9,7384.84,1.146,1.20605,0.02033,0.80025,0.7676,0.83029,0.69061,0.76461,0.84036,0.01774,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
run_04_batch_4,batch,4,10,8161.28,1.12829,1.16355,0.02008,0.88664,0.74677,0.85509,0.70815,0.76203,0.89602,0.01745,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
