epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,660.218,1.16836,3.27383,0.02076,0.61241,0.5767,0.67504,0.53774,0.81742,1.38489,0.01853,0.00999692,0.00333231,0.00999692,0.00333231,0.00999692,0.00333231,0.00999692,0.00333231
2,1177.47,1.18307,1.72802,0.02096,0.7336,0.71291,0.77373,0.61922,0.81286,1.08507,0.01828,0.019337,0.00644567,0.019337,0.00644567,0.019337,0.00644567,0.019337,0.00644567
3,1655.72,1.25199,1.67118,0.02226,0.70476,0.6073,0.69545,0.5405,0.9489,1.27361,0.02219,0.0280171,0.00933904,0.0280171,0.00933904,0.0280171,0.00933904,0.0280171,0.00933904
4,2126.84,1.29986,1.64282,0.02304,0.68091,0.72225,0.75215,0.5912,0.88216,1.13032,0.02049,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
5,2595.39,1.24585,1.44867,0.02184,0.79468,0.73447,0.81173,0.65758,0.83319,0.96084,0.01913,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
6,3063.6,1.20406,1.33712,0.02109,0.7391,0.74389,0.79778,0.64256,0.82263,0.90538,0.01877,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
7,3534.25,1.18638,1.26484,0.02074,0.75467,0.76906,0.82945,0.67107,0.80415,0.8501,0.01856,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
8,4003.89,1.16203,1.17881,0.02006,0.76038,0.75684,0.83267,0.67728,0.79511,0.87652,0.01819,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
9,4477.25,1.13861,1.15042,0.01968,0.81646,0.77808,0.84269,0.69671,0.7571,0.80395,0.01698,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
10,4950.62,1.12385,1.10667,0.01941,0.78272,0.77489,0.84376,0.68501,0.79512,0.77812,0.01816,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
11,5421.5,1.10391,1.05608,0.01907,0.85314,0.73099,0.84487,0.6973,0.73994,0.79526,0.01694,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
12,5892.1,1.08109,1.03799,0.01865,0.84687,0.70479,0.83858,0.69002,0.75519,0.81653,0.01739,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
13,6361.76,1.06779,0.99722,0.01832,0.84775,0.75663,0.8423,0.69354,0.7664,0.81936,0.01734,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
14,6833.69,1.04859,0.97488,0.01802,0.86787,0.78664,0.8856,0.75316,0.71431,0.66619,0.016,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
15,7305.77,1.03794,0.94567,0.01789,0.84213,0.76645,0.8718,0.73625,0.72591,0.67103,0.01623,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
16,7775.1,1.02837,0.93211,0.01755,0.80993,0.82363,0.88058,0.74398,0.71342,0.67585,0.01608,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
17,8246.02,1.00852,0.88643,0.01711,0.81017,0.82423,0.87978,0.73797,0.72045,0.6854,0.01608,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
18,8715.04,0.99705,0.86527,0.01696,0.8072,0.8156,0.87129,0.73492,0.71897,0.72825,0.01602,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
19,9185.46,0.97946,0.8398,0.01666,0.85136,0.76124,0.86725,0.73173,0.70921,0.75417,0.01577,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
20,9655.28,0.9658,0.83118,0.01641,0.8237,0.767,0.87402,0.73173,0.71722,0.72403,0.01594,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
21,10097.3,0.80197,0.38763,0.01933,0.86839,0.77223,0.86241,0.72201,0.71785,0.73424,0.01606,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
22,10539.1,0.78198,0.36748,0.01883,0.8306,0.78874,0.86809,0.73199,0.70103,0.77985,0.01553,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
23,10979.4,0.76233,0.35899,0.01824,0.83659,0.79364,0.85658,0.71433,0.71949,0.78934,0.01589,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
24,11422.8,0.74764,0.34691,0.01785,0.84972,0.77897,0.84008,0.70397,0.72849,0.80395,0.01621,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241
