epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,855.727,1.17898,3.7999,0.02124,0.69153,0.51647,0.65402,0.50757,0.91525,1.45911,0.02173,0.00999692,0.00333231,0.00999692,0.00333231,0.00999692,0.00333231,0.00999692,0.00333231
2,1574.6,1.20484,1.78369,0.02186,0.59965,0.59052,0.65032,0.4781,0.9918,1.445,0.02486,0.019337,0.00644567,0.019337,0.00644567,0.019337,0.00644567,0.019337,0.00644567
3,2258.09,1.26408,1.69108,0.02296,0.6067,0.64122,0.6718,0.46224,1.18971,1.50091,0.03121,0.0280171,0.00933904,0.0280171,0.00933904,0.0280171,0.00933904,0.0280171,0.00933904
4,2934.57,1.29923,1.62726,0.02349,0.73575,0.64311,0.72873,0.5342,1.04878,1.23742,0.02641,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
5,3610.49,1.25131,1.44887,0.02236,0.71249,0.69758,0.76137,0.59931,0.89789,1.03601,0.02112,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
6,4284.77,1.20201,1.34388,0.02139,0.71912,0.77269,0.8115,0.6489,0.86498,0.89659,0.02065,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
7,4959.86,1.17357,1.25801,0.02086,0.81106,0.68567,0.79571,0.62738,0.91571,0.95819,0.02252,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
8,5634.21,1.14264,1.18787,0.02007,0.75251,0.77521,0.81947,0.65859,0.84989,0.91502,0.0202,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
9,6307.31,1.12049,1.15228,0.01968,0.77782,0.73246,0.81831,0.66823,0.79501,0.90616,0.01839,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
10,6983.16,1.10287,1.11116,0.01936,0.7736,0.7837,0.8546,0.69854,0.80929,0.79056,0.01916,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
11,7646.77,1.08885,1.05281,0.01909,0.8161,0.76068,0.83563,0.68439,0.80517,0.81182,0.0191,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
12,8288.25,1.0703,1.03337,0.01877,0.81972,0.77389,0.83302,0.69352,0.77944,0.80744,0.01804,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
13,8918.4,1.05043,0.9922,0.01831,0.82748,0.80197,0.85086,0.69795,0.78309,0.78619,0.01853,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
14,9565.54,1.03737,0.96101,0.01809,0.84361,0.80231,0.86299,0.7158,0.75578,0.70667,0.01751,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
15,10207.1,1.02314,0.93142,0.01786,0.81008,0.77335,0.86266,0.71583,0.73641,0.74278,0.01689,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
16,10851.5,1.01296,0.92824,0.01756,0.84406,0.79766,0.86638,0.71916,0.7296,0.71532,0.01666,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
17,11482.9,0.99338,0.88367,0.01709,0.83336,0.79632,0.87276,0.72989,0.72847,0.78772,0.01638,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
18,12125.7,0.98153,0.87113,0.0169,0.81674,0.80763,0.85929,0.72312,0.73112,0.74226,0.0167,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
19,12758.4,0.96354,0.84096,0.01659,0.83602,0.79609,0.85825,0.71918,0.7389,0.72678,0.017,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
20,13406,0.9524,0.8256,0.01636,0.82532,0.78743,0.85249,0.70944,0.7632,0.78106,0.01752,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
21,13988.9,0.80703,0.39489,0.01972,0.88521,0.78015,0.85688,0.71068,0.75987,0.71405,0.01737,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
22,14573.4,0.7856,0.38738,0.01913,0.86428,0.77661,0.87001,0.71584,0.75805,0.734,0.01729,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
23,15171.7,0.7673,0.36647,0.01863,0.84602,0.79184,0.84864,0.6961,0.77027,0.79286,0.01758,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
24,15757.1,0.74763,0.35412,0.01805,0.88058,0.77943,0.86965,0.72073,0.76283,0.71792,0.01745,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241
25,16351.7,0.73455,0.35139,0.01775,0.84701,0.80068,0.86609,0.71451,0.76962,0.73849,0.01758,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
26,16946.3,0.71241,0.33972,0.01716,0.82482,0.82659,0.86629,0.71885,0.76092,0.75513,0.01728,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175
27,17565.1,0.69702,0.32177,0.01675,0.84595,0.77266,0.85288,0.70436,0.76337,0.77747,0.01729,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142
