epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,21.9389,3.31273,0.07212,0.26442,3.2455,0.000107829,0.000107829,0.000107829
2,41.2181,2.90101,0.19231,0.41827,3.00103,0.000146615,0.000146615,0.000146615
3,61.0134,2.30486,0.28365,0.5625,2.66156,0.000112142,0.000112142,0.000112142
